Item_ID,product_type,price,product_name,size,colour,quantity,description
23,Shirt,114,Oxford Cloth,L,blue,59,"A blue coloured, L sized, Oxford Cloth Shirt"
24,Shirt,114,Oxford Cloth,XL,blue,60,"A blue coloured, XL sized, Oxford Cloth Shirt"
25,Shirt,114,Oxford Cloth,XS,indigo,61,"A indigo coloured, XS sized, Oxford Cloth Shirt"
26,Shirt,114,Oxford Cloth,S,indigo,59,"A indigo coloured, S sized, Oxford Cloth Shirt"
27,Shirt,114,Oxford Cloth,M,indigo,62,"A indigo coloured, M sized, Oxford Cloth Shirt"
28,Shirt,114,Oxford Cloth,L,indigo,70,"A indigo coloured, L sized, Oxford Cloth Shirt"
29,Shirt,114,Oxford Cloth,XL,indigo,55,"A indigo coloured, XL sized, Oxford Cloth Shirt"
30,Shirt,114,Oxford Cloth,XS,violet,74,"A violet coloured, XS sized, Oxford Cloth Shirt"
31,Shirt,114,Oxford Cloth,S,violet,41,"A violet coloured, S sized, Oxford Cloth Shirt"
32,Shirt,114,Oxford Cloth,M,violet,65,"A violet coloured, M sized, Oxford Cloth Shirt"
33,Shirt,114,Oxford Cloth,L,violet,73,"A violet coloured, L sized, Oxford Cloth Shirt"
34,Shirt,114,Oxford Cloth,XL,violet,54,"A violet coloured, XL sized, Oxford Cloth Shirt"
35,Shirt,119,Dress,XS,red,63,"A red coloured, XS sized, Dress Shirt"
36,Shirt,119,Dress,S,red,72,"A red coloured, S sized, Dress Shirt"
37,Shirt,119,Dress,M,red,57,"A red coloured, M sized, Dress Shirt"
38,Shirt,119,Dress,L,red,79,"A red coloured, L sized, Dress Shirt"
39,Shirt,119,Dress,XL,red,47,"A red coloured, XL sized, Dress Shirt"
40,Shirt,119,Dress,XS,orange,58,"A orange coloured, XS sized, Dress Shirt"
41,Shirt,119,Dress,S,orange,69,"A orange coloured, S sized, Dress Shirt"
42,Shirt,119,Dress,M,orange,53,"A orange coloured, M sized, Dress Shirt"
43,Shirt,119,Dress,L,orange,73,"A orange coloured, L sized, Dress Shirt"
44,Shirt,119,Dress,XL,orange,78,"A orange coloured, XL sized, Dress Shirt"
45,Shirt,119,Dress,XS,yellow,69,"A yellow coloured, XS sized, Dress Shirt"
46,Shirt,119,Dress,S,yellow,56,"A yellow coloured, S sized, Dress Shirt"
47,Shirt,119,Dress,M,yellow,61,"A yellow coloured, M sized, Dress Shirt"
48,Shirt,119,Dress,L,yellow,56,"A yellow coloured, L sized, Dress Shirt"
49,Shirt,119,Dress,XL,yellow,75,"A yellow coloured, XL sized, Dress Shirt"
50,Shirt,119,Dress,XS,green,51,"A green coloured, XS sized, Dress Shirt"
51,Shirt,119,Dress,S,green,60,"A green coloured, S sized, Dress Shirt"
52,Shirt,119,Dress,M,green,65,"A green coloured, M sized, Dress Shirt"
53,Shirt,119,Dress,L,green,52,"A green coloured, L sized, Dress Shirt"
54,Shirt,119,Dress,XL,green,52,"A green coloured, XL sized, Dress Shirt"
55,Shirt,119,Dress,XS,blue,41,"A blue coloured, XS sized, Dress Shirt"
56,Shirt,119,Dress,S,blue,46,"A blue coloured, S sized, Dress Shirt"
57,Shirt,119,Dress,M,blue,48,"A blue coloured, M sized, Dress Shirt"
58,Shirt,119,Dress,L,blue,61,"A blue coloured, L sized, Dress Shirt"
59,Shirt,119,Dress,XL,blue,66,"A blue coloured, XL sized, Dress Shirt"
60,Shirt,119,Dress,XS,indigo,56,"A indigo coloured, XS sized, Dress Shirt"
61,Shirt,119,Dress,S,indigo,40,"A indigo coloured, S sized, Dress Shirt"
62,Shirt,119,Dress,M,indigo,51,"A indigo coloured, M sized, Dress Shirt"
63,Shirt,119,Dress,L,indigo,71,"A indigo coloured, L sized, Dress Shirt"
64,Shirt,119,Dress,XL,indigo,75,"A indigo coloured, XL sized, Dress Shirt"
65,Shirt,119,Dress,XS,violet,63,"A violet coloured, XS sized, Dress Shirt"
66,Shirt,119,Dress,S,violet,69,"A violet coloured, S sized, Dress Shirt"
67,Shirt,119,Dress,M,violet,41,"A violet coloured, M sized, Dress Shirt"
68,Shirt,119,Dress,L,violet,74,"A violet coloured, L sized, Dress Shirt"
69,Shirt,119,Dress,XL,violet,77,"A violet coloured, XL sized, Dress Shirt"
70,Shirt,96,Flannel,XS,red,42,"A red coloured, XS sized, Flannel Shirt"
71,Shirt,96,Flannel,S,red,59,"A red coloured, S sized, Flannel Shirt"
72,Shirt,96,Flannel,M,red,68,"A red coloured, M sized, Flannel Shirt"
73,Shirt,96,Flannel,L,red,77,"A red coloured, L sized, Flannel Shirt"
74,Shirt,96,Flannel,XL,red,72,"A red coloured, XL sized, Flannel Shirt"
75,Shirt,96,Flannel,XS,orange,42,"A orange coloured, XS sized, Flannel Shirt"
76,Shirt,96,Flannel,S,orange,54,"A orange coloured, S sized, Flannel Shirt"
77,Shirt,96,Flannel,M,orange,68,"A orange coloured, M sized, Flannel Shirt"
78,Shirt,96,Flannel,L,orange,59,"A orange coloured, L sized, Flannel Shirt"
79,Shirt,96,Flannel,XL,orange,50,"A orange coloured, XL sized, Flannel Shirt"
80,Shirt,96,Flannel,XS,yellow,41,"A yellow coloured, XS sized, Flannel Shirt"
81,Shirt,96,Flannel,S,yellow,42,"A yellow coloured, S sized, Flannel Shirt"
82,Shirt,96,Flannel,M,yellow,59,"A yellow coloured, M sized, Flannel Shirt"
83,Shirt,96,Flannel,L,yellow,80,"A yellow coloured, L sized, Flannel Shirt"
84,Shirt,96,Flannel,XL,yellow,72,"A yellow coloured, XL sized, Flannel Shirt"
85,Shirt,96,Flannel,XS,green,55,"A green coloured, XS sized, Flannel Shirt"
86,Shirt,96,Flannel,S,green,57,"A green coloured, S sized, Flannel Shirt"
87,Shirt,96,Flannel,M,green,66,"A green coloured, M sized, Flannel Shirt"
88,Shirt,96,Flannel,L,green,72,"A green coloured, L sized, Flannel Shirt"
89,Shirt,96,Flannel,XL,green,77,"A green coloured, XL sized, Flannel Shirt"
90,Shirt,96,Flannel,XS,blue,62,"A blue coloured, XS sized, Flannel Shirt"
91,Shirt,96,Flannel,S,blue,43,"A blue coloured, S sized, Flannel Shirt"
92,Shirt,96,Flannel,M,blue,73,"A blue coloured, M sized, Flannel Shirt"
93,Shirt,96,Flannel,L,blue,44,"A blue coloured, L sized, Flannel Shirt"
94,Shirt,96,Flannel,XL,blue,61,"A blue coloured, XL sized, Flannel Shirt"
95,Shirt,96,Flannel,XS,indigo,46,"A indigo coloured, XS sized, Flannel Shirt"
96,Shirt,96,Flannel,S,indigo,74,"A indigo coloured, S sized, Flannel Shirt"
97,Shirt,96,Flannel,M,indigo,69,"A indigo coloured, M sized, Flannel Shirt"
98,Shirt,96,Flannel,L,indigo,62,"A indigo coloured, L sized, Flannel Shirt"
99,Shirt,96,Flannel,XL,indigo,57,"A indigo coloured, XL sized, Flannel Shirt"
100,Shirt,96,Flannel,XS,violet,72,"A violet coloured, XS sized, Flannel Shirt"
101,Shirt,96,Flannel,S,violet,70,"A violet coloured, S sized, Flannel Shirt"
102,Shirt,96,Flannel,M,violet,71,"A violet coloured, M sized, Flannel Shirt"
103,Shirt,96,Flannel,L,violet,76,"A violet coloured, L sized, Flannel Shirt"
104,Shirt,96,Flannel,XL,violet,43,"A violet coloured, XL sized, Flannel Shirt"
105,Shirt,115,Denim,XS,red,52,"A red coloured, XS sized, Denim Shirt"
106,Shirt,115,Denim,S,red,57,"A red coloured, S sized, Denim Shirt"
107,Shirt,115,Denim,M,red,49,"A red coloured, M sized, Denim Shirt"
108,Shirt,115,Denim,L,red,52,"A red coloured, L sized, Denim Shirt"
109,Shirt,115,Denim,XL,red,63,"A red coloured, XL sized, Denim Shirt"
110,Shirt,115,Denim,XS,orange,45,"A orange coloured, XS sized, Denim Shirt"
111,Shirt,115,Denim,S,orange,69,"A orange coloured, S sized, Denim Shirt"
112,Shirt,115,Denim,M,orange,50,"A orange coloured, M sized, Denim Shirt"
113,Shirt,115,Denim,L,orange,45,"A orange coloured, L sized, Denim Shirt"
114,Shirt,115,Denim,XL,orange,67,"A orange coloured, XL sized, Denim Shirt"
115,Shirt,115,Denim,XS,yellow,54,"A yellow coloured, XS sized, Denim Shirt"
116,Shirt,115,Denim,S,yellow,75,"A yellow coloured, S sized, Denim Shirt"
117,Shirt,115,Denim,M,yellow,67,"A yellow coloured, M sized, Denim Shirt"
118,Shirt,115,Denim,L,yellow,75,"A yellow coloured, L sized, Denim Shirt"
119,Shirt,115,Denim,XL,yellow,74,"A yellow coloured, XL sized, Denim Shirt"
120,Shirt,115,Denim,XS,green,66,"A green coloured, XS sized, Denim Shirt"
121,Shirt,115,Denim,S,green,49,"A green coloured, S sized, Denim Shirt"
122,Shirt,115,Denim,M,green,66,"A green coloured, M sized, Denim Shirt"
123,Shirt,115,Denim,L,green,71,"A green coloured, L sized, Denim Shirt"
124,Shirt,115,Denim,XL,green,52,"A green coloured, XL sized, Denim Shirt"
125,Shirt,115,Denim,XS,blue,76,"A blue coloured, XS sized, Denim Shirt"
126,Shirt,115,Denim,S,blue,47,"A blue coloured, S sized, Denim Shirt"
127,Shirt,115,Denim,M,blue,58,"A blue coloured, M sized, Denim Shirt"
128,Shirt,115,Denim,L,blue,45,"A blue coloured, L sized, Denim Shirt"
129,Shirt,115,Denim,XL,blue,73,"A blue coloured, XL sized, Denim Shirt"
130,Shirt,115,Denim,XS,indigo,79,"A indigo coloured, XS sized, Denim Shirt"
131,Shirt,115,Denim,S,indigo,69,"A indigo coloured, S sized, Denim Shirt"
132,Shirt,115,Denim,M,indigo,56,"A indigo coloured, M sized, Denim Shirt"
133,Shirt,115,Denim,L,indigo,58,"A indigo coloured, L sized, Denim Shirt"
134,Shirt,115,Denim,XL,indigo,58,"A indigo coloured, XL sized, Denim Shirt"
135,Shirt,115,Denim,XS,violet,73,"A violet coloured, XS sized, Denim Shirt"
136,Shirt,115,Denim,S,violet,54,"A violet coloured, S sized, Denim Shirt"
137,Shirt,115,Denim,M,violet,55,"A violet coloured, M sized, Denim Shirt"
138,Shirt,115,Denim,L,violet,78,"A violet coloured, L sized, Denim Shirt"
139,Shirt,115,Denim,XL,violet,73,"A violet coloured, XL sized, Denim Shirt"
140,Shirt,116,Linen,XS,red,61,"A red coloured, XS sized, Linen Shirt"
141,Shirt,116,Linen,S,red,67,"A red coloured, S sized, Linen Shirt"
142,Shirt,116,Linen,M,red,78,"A red coloured, M sized, Linen Shirt"
143,Shirt,116,Linen,L,red,80,"A red coloured, L sized, Linen Shirt"
144,Shirt,116,Linen,XL,red,47,"A red coloured, XL sized, Linen Shirt"
145,Shirt,116,Linen,XS,orange,70,"A orange coloured, XS sized, Linen Shirt"
146,Shirt,116,Linen,S,orange,42,"A orange coloured, S sized, Linen Shirt"
147,Shirt,116,Linen,M,orange,42,"A orange coloured, M sized, Linen Shirt"
148,Shirt,116,Linen,L,orange,73,"A orange coloured, L sized, Linen Shirt"
149,Shirt,116,Linen,XL,orange,59,"A orange coloured, XL sized, Linen Shirt"
150,Shirt,116,Linen,XS,yellow,55,"A yellow coloured, XS sized, Linen Shirt"
151,Shirt,116,Linen,S,yellow,60,"A yellow coloured, S sized, Linen Shirt"
152,Shirt,116,Linen,M,yellow,59,"A yellow coloured, M sized, Linen Shirt"
153,Shirt,116,Linen,L,yellow,72,"A yellow coloured, L sized, Linen Shirt"
154,Shirt,116,Linen,XL,yellow,54,"A yellow coloured, XL sized, Linen Shirt"
155,Shirt,116,Linen,XS,green,49,"A green coloured, XS sized, Linen Shirt"
156,Shirt,116,Linen,S,green,58,"A green coloured, S sized, Linen Shirt"
157,Shirt,116,Linen,M,green,42,"A green coloured, M sized, Linen Shirt"
158,Shirt,116,Linen,L,green,72,"A green coloured, L sized, Linen Shirt"
159,Shirt,116,Linen,XL,green,51,"A green coloured, XL sized, Linen Shirt"
160,Shirt,116,Linen,XS,blue,53,"A blue coloured, XS sized, Linen Shirt"
161,Shirt,116,Linen,S,blue,77,"A blue coloured, S sized, Linen Shirt"
162,Shirt,116,Linen,M,blue,58,"A blue coloured, M sized, Linen Shirt"
163,Shirt,116,Linen,L,blue,70,"A blue coloured, L sized, Linen Shirt"
164,Shirt,116,Linen,XL,blue,47,"A blue coloured, XL sized, Linen Shirt"
165,Shirt,116,Linen,XS,indigo,70,"A indigo coloured, XS sized, Linen Shirt"
166,Shirt,116,Linen,S,indigo,72,"A indigo coloured, S sized, Linen Shirt"
167,Shirt,116,Linen,M,indigo,72,"A indigo coloured, M sized, Linen Shirt"
168,Shirt,116,Linen,L,indigo,75,"A indigo coloured, L sized, Linen Shirt"
169,Shirt,116,Linen,XL,indigo,66,"A indigo coloured, XL sized, Linen Shirt"
170,Shirt,116,Linen,XS,violet,56,"A violet coloured, XS sized, Linen Shirt"
171,Shirt,116,Linen,S,violet,44,"A violet coloured, S sized, Linen Shirt"
172,Shirt,116,Linen,M,violet,44,"A violet coloured, M sized, Linen Shirt"
173,Shirt,116,Linen,L,violet,70,"A violet coloured, L sized, Linen Shirt"
174,Shirt,116,Linen,XL,violet,73,"A violet coloured, XL sized, Linen Shirt"
175,Shirt,112,Camp Collared,XS,red,77,"A red coloured, XS sized, Camp Collared Shirt"
176,Shirt,112,Camp Collared,S,red,67,"A red coloured, S sized, Camp Collared Shirt"
177,Shirt,112,Camp Collared,M,red,64,"A red coloured, M sized, Camp Collared Shirt"
178,Shirt,112,Camp Collared,L,red,52,"A red coloured, L sized, Camp Collared Shirt"
179,Shirt,112,Camp Collared,XL,red,79,"A red coloured, XL sized, Camp Collared Shirt"
180,Shirt,112,Camp Collared,XS,orange,52,"A orange coloured, XS sized, Camp Collared Shirt"
181,Shirt,112,Camp Collared,S,orange,62,"A orange coloured, S sized, Camp Collared Shirt"
182,Shirt,112,Camp Collared,M,orange,65,"A orange coloured, M sized, Camp Collared Shirt"
183,Shirt,112,Camp Collared,L,orange,63,"A orange coloured, L sized, Camp Collared Shirt"
184,Shirt,112,Camp Collared,XL,orange,48,"A orange coloured, XL sized, Camp Collared Shirt"
185,Shirt,112,Camp Collared,XS,yellow,55,"A yellow coloured, XS sized, Camp Collared Shirt"
186,Shirt,112,Camp Collared,S,yellow,66,"A yellow coloured, S sized, Camp Collared Shirt"
187,Shirt,112,Camp Collared,M,yellow,49,"A yellow coloured, M sized, Camp Collared Shirt"
188,Shirt,112,Camp Collared,L,yellow,71,"A yellow coloured, L sized, Camp Collared Shirt"
189,Shirt,112,Camp Collared,XL,yellow,44,"A yellow coloured, XL sized, Camp Collared Shirt"
190,Shirt,112,Camp Collared,XS,green,66,"A green coloured, XS sized, Camp Collared Shirt"
191,Shirt,112,Camp Collared,S,green,60,"A green coloured, S sized, Camp Collared Shirt"
192,Shirt,112,Camp Collared,M,green,41,"A green coloured, M sized, Camp Collared Shirt"
193,Shirt,112,Camp Collared,L,green,80,"A green coloured, L sized, Camp Collared Shirt"
194,Shirt,112,Camp Collared,XL,green,61,"A green coloured, XL sized, Camp Collared Shirt"
195,Shirt,112,Camp Collared,XS,blue,47,"A blue coloured, XS sized, Camp Collared Shirt"
196,Shirt,112,Camp Collared,S,blue,75,"A blue coloured, S sized, Camp Collared Shirt"
197,Shirt,112,Camp Collared,M,blue,65,"A blue coloured, M sized, Camp Collared Shirt"
198,Shirt,112,Camp Collared,L,blue,56,"A blue coloured, L sized, Camp Collared Shirt"
199,Shirt,112,Camp Collared,XL,blue,51,"A blue coloured, XL sized, Camp Collared Shirt"
200,Shirt,112,Camp Collared,XS,indigo,64,"A indigo coloured, XS sized, Camp Collared Shirt"
201,Shirt,112,Camp Collared,S,indigo,50,"A indigo coloured, S sized, Camp Collared Shirt"
202,Shirt,112,Camp Collared,M,indigo,52,"A indigo coloured, M sized, Camp Collared Shirt"
203,Shirt,112,Camp Collared,L,indigo,72,"A indigo coloured, L sized, Camp Collared Shirt"
204,Shirt,112,Camp Collared,XL,indigo,42,"A indigo coloured, XL sized, Camp Collared Shirt"
205,Shirt,112,Camp Collared,XS,violet,72,"A violet coloured, XS sized, Camp Collared Shirt"
206,Shirt,112,Camp Collared,S,violet,80,"A violet coloured, S sized, Camp Collared Shirt"
207,Shirt,112,Camp Collared,M,violet,41,"A violet coloured, M sized, Camp Collared Shirt"
208,Shirt,112,Camp Collared,L,violet,42,"A violet coloured, L sized, Camp Collared Shirt"
209,Shirt,112,Camp Collared,XL,violet,40,"A violet coloured, XL sized, Camp Collared Shirt"
210,Shirt,105,Chambray,XS,red,48,"A red coloured, XS sized, Chambray Shirt"
211,Shirt,105,Chambray,S,red,72,"A red coloured, S sized, Chambray Shirt"
212,Shirt,105,Chambray,M,red,48,"A red coloured, M sized, Chambray Shirt"
213,Shirt,105,Chambray,L,red,44,"A red coloured, L sized, Chambray Shirt"
214,Shirt,105,Chambray,XL,red,42,"A red coloured, XL sized, Chambray Shirt"
215,Shirt,105,Chambray,XS,orange,76,"A orange coloured, XS sized, Chambray Shirt"
216,Shirt,105,Chambray,S,orange,69,"A orange coloured, S sized, Chambray Shirt"
217,Shirt,105,Chambray,M,orange,43,"A orange coloured, M sized, Chambray Shirt"
218,Shirt,105,Chambray,L,orange,44,"A orange coloured, L sized, Chambray Shirt"
219,Shirt,105,Chambray,XL,orange,57,"A orange coloured, XL sized, Chambray Shirt"
220,Shirt,105,Chambray,XS,yellow,57,"A yellow coloured, XS sized, Chambray Shirt"
221,Shirt,105,Chambray,S,yellow,40,"A yellow coloured, S sized, Chambray Shirt"
222,Shirt,105,Chambray,M,yellow,62,"A yellow coloured, M sized, Chambray Shirt"
223,Shirt,105,Chambray,L,yellow,53,"A yellow coloured, L sized, Chambray Shirt"
224,Shirt,105,Chambray,XL,yellow,53,"A yellow coloured, XL sized, Chambray Shirt"
225,Shirt,105,Chambray,XS,green,50,"A green coloured, XS sized, Chambray Shirt"
226,Shirt,105,Chambray,S,green,63,"A green coloured, S sized, Chambray Shirt"
227,Shirt,105,Chambray,M,green,56,"A green coloured, M sized, Chambray Shirt"
228,Shirt,105,Chambray,L,green,56,"A green coloured, L sized, Chambray Shirt"
229,Shirt,105,Chambray,XL,green,58,"A green coloured, XL sized, Chambray Shirt"
230,Shirt,105,Chambray,XS,blue,76,"A blue coloured, XS sized, Chambray Shirt"
231,Shirt,105,Chambray,S,blue,61,"A blue coloured, S sized, Chambray Shirt"
232,Shirt,105,Chambray,M,blue,66,"A blue coloured, M sized, Chambray Shirt"
233,Shirt,105,Chambray,L,blue,69,"A blue coloured, L sized, Chambray Shirt"
234,Shirt,105,Chambray,XL,blue,43,"A blue coloured, XL sized, Chambray Shirt"
235,Shirt,105,Chambray,XS,indigo,75,"A indigo coloured, XS sized, Chambray Shirt"
236,Shirt,105,Chambray,S,indigo,59,"A indigo coloured, S sized, Chambray Shirt"
237,Shirt,105,Chambray,M,indigo,62,"A indigo coloured, M sized, Chambray Shirt"
238,Shirt,105,Chambray,L,indigo,79,"A indigo coloured, L sized, Chambray Shirt"
239,Shirt,105,Chambray,XL,indigo,61,"A indigo coloured, XL sized, Chambray Shirt"
240,Shirt,105,Chambray,XS,violet,47,"A violet coloured, XS sized, Chambray Shirt"
241,Shirt,105,Chambray,S,violet,52,"A violet coloured, S sized, Chambray Shirt"
242,Shirt,105,Chambray,M,violet,72,"A violet coloured, M sized, Chambray Shirt"
243,Shirt,105,Chambray,L,violet,53,"A violet coloured, L sized, Chambray Shirt"
244,Shirt,105,Chambray,XL,violet,54,"A violet coloured, XL sized, Chambray Shirt"
245,Shirt,117,Polo,XS,red,40,"A red coloured, XS sized, Polo Shirt"
246,Shirt,117,Polo,S,red,60,"A red coloured, S sized, Polo Shirt"
247,Shirt,117,Polo,M,red,70,"A red coloured, M sized, Polo Shirt"
248,Shirt,117,Polo,L,red,72,"A red coloured, L sized, Polo Shirt"
249,Shirt,117,Polo,XL,red,76,"A red coloured, XL sized, Polo Shirt"
250,Shirt,117,Polo,XS,orange,75,"A orange coloured, XS sized, Polo Shirt"
251,Shirt,117,Polo,S,orange,78,"A orange coloured, S sized, Polo Shirt"
252,Shirt,117,Polo,M,orange,67,"A orange coloured, M sized, Polo Shirt"
253,Shirt,117,Polo,L,orange,63,"A orange coloured, L sized, Polo Shirt"
254,Shirt,117,Polo,XL,orange,43,"A orange coloured, XL sized, Polo Shirt"
255,Shirt,117,Polo,XS,yellow,79,"A yellow coloured, XS sized, Polo Shirt"
256,Shirt,117,Polo,S,yellow,77,"A yellow coloured, S sized, Polo Shirt"
257,Shirt,117,Polo,M,yellow,52,"A yellow coloured, M sized, Polo Shirt"
258,Shirt,117,Polo,L,yellow,46,"A yellow coloured, L sized, Polo Shirt"
259,Shirt,117,Polo,XL,yellow,46,"A yellow coloured, XL sized, Polo Shirt"
260,Shirt,117,Polo,XS,green,45,"A green coloured, XS sized, Polo Shirt"
261,Shirt,117,Polo,S,green,71,"A green coloured, S sized, Polo Shirt"
262,Shirt,117,Polo,M,green,62,"A green coloured, M sized, Polo Shirt"
263,Shirt,117,Polo,L,green,68,"A green coloured, L sized, Polo Shirt"
264,Shirt,117,Polo,XL,green,61,"A green coloured, XL sized, Polo Shirt"
265,Shirt,117,Polo,XS,blue,56,"A blue coloured, XS sized, Polo Shirt"
266,Shirt,117,Polo,S,blue,76,"A blue coloured, S sized, Polo Shirt"
267,Shirt,117,Polo,M,blue,49,"A blue coloured, M sized, Polo Shirt"
268,Shirt,117,Polo,L,blue,77,"A blue coloured, L sized, Polo Shirt"
269,Shirt,117,Polo,XL,blue,70,"A blue coloured, XL sized, Polo Shirt"
270,Shirt,117,Polo,XS,indigo,47,"A indigo coloured, XS sized, Polo Shirt"
271,Shirt,117,Polo,S,indigo,50,"A indigo coloured, S sized, Polo Shirt"
272,Shirt,117,Polo,M,indigo,62,"A indigo coloured, M sized, Polo Shirt"
273,Shirt,117,Polo,L,indigo,60,"A indigo coloured, L sized, Polo Shirt"
274,Shirt,117,Polo,XL,indigo,56,"A indigo coloured, XL sized, Polo Shirt"
275,Shirt,117,Polo,XS,violet,67,"A violet coloured, XS sized, Polo Shirt"
276,Shirt,117,Polo,S,violet,43,"A violet coloured, S sized, Polo Shirt"
277,Shirt,117,Polo,M,violet,77,"A violet coloured, M sized, Polo Shirt"
278,Shirt,117,Polo,L,violet,76,"A violet coloured, L sized, Polo Shirt"
279,Shirt,117,Polo,XL,violet,79,"A violet coloured, XL sized, Polo Shirt"
280,Shirt,93,Cuban Collar,XS,red,56,"A red coloured, XS sized, Cuban Collar Shirt"
281,Shirt,93,Cuban Collar,S,red,59,"A red coloured, S sized, Cuban Collar Shirt"
282,Shirt,93,Cuban Collar,M,red,53,"A red coloured, M sized, Cuban Collar Shirt"
283,Shirt,93,Cuban Collar,L,red,45,"A red coloured, L sized, Cuban Collar Shirt"
284,Shirt,93,Cuban Collar,XL,red,65,"A red coloured, XL sized, Cuban Collar Shirt"
285,Shirt,93,Cuban Collar,XS,orange,62,"A orange coloured, XS sized, Cuban Collar Shirt"
286,Shirt,93,Cuban Collar,S,orange,50,"A orange coloured, S sized, Cuban Collar Shirt"
287,Shirt,93,Cuban Collar,M,orange,49,"A orange coloured, M sized, Cuban Collar Shirt"
288,Shirt,93,Cuban Collar,L,orange,65,"A orange coloured, L sized, Cuban Collar Shirt"
289,Shirt,93,Cuban Collar,XL,orange,49,"A orange coloured, XL sized, Cuban Collar Shirt"
290,Shirt,93,Cuban Collar,XS,yellow,78,"A yellow coloured, XS sized, Cuban Collar Shirt"
291,Shirt,93,Cuban Collar,S,yellow,41,"A yellow coloured, S sized, Cuban Collar Shirt"
292,Shirt,93,Cuban Collar,M,yellow,49,"A yellow coloured, M sized, Cuban Collar Shirt"
293,Shirt,93,Cuban Collar,L,yellow,77,"A yellow coloured, L sized, Cuban Collar Shirt"
294,Shirt,93,Cuban Collar,XL,yellow,76,"A yellow coloured, XL sized, Cuban Collar Shirt"
295,Shirt,93,Cuban Collar,XS,green,63,"A green coloured, XS sized, Cuban Collar Shirt"
296,Shirt,93,Cuban Collar,S,green,58,"A green coloured, S sized, Cuban Collar Shirt"
297,Shirt,93,Cuban Collar,M,green,45,"A green coloured, M sized, Cuban Collar Shirt"
298,Shirt,93,Cuban Collar,L,green,58,"A green coloured, L sized, Cuban Collar Shirt"
299,Shirt,93,Cuban Collar,XL,green,60,"A green coloured, XL sized, Cuban Collar Shirt"
300,Shirt,93,Cuban Collar,XS,blue,56,"A blue coloured, XS sized, Cuban Collar Shirt"
301,Shirt,93,Cuban Collar,S,blue,62,"A blue coloured, S sized, Cuban Collar Shirt"
302,Shirt,93,Cuban Collar,M,blue,55,"A blue coloured, M sized, Cuban Collar Shirt"
303,Shirt,93,Cuban Collar,L,blue,65,"A blue coloured, L sized, Cuban Collar Shirt"
304,Shirt,93,Cuban Collar,XL,blue,73,"A blue coloured, XL sized, Cuban Collar Shirt"
305,Shirt,93,Cuban Collar,XS,indigo,50,"A indigo coloured, XS sized, Cuban Collar Shirt"
306,Shirt,93,Cuban Collar,S,indigo,41,"A indigo coloured, S sized, Cuban Collar Shirt"
307,Shirt,93,Cuban Collar,M,indigo,58,"A indigo coloured, M sized, Cuban Collar Shirt"
308,Shirt,93,Cuban Collar,L,indigo,65,"A indigo coloured, L sized, Cuban Collar Shirt"
309,Shirt,93,Cuban Collar,XL,indigo,53,"A indigo coloured, XL sized, Cuban Collar Shirt"
